dataset,index,order,depth,method,run,time_seconds
AdultCensusLocalXAI,BII,2,7,fourier,1,0.15971491602249444
AdultCensusLocalXAI,BII,2,7,fourier,2,0.16443545796209946
AdultCensusLocalXAI,BII,2,7,fourier,3,0.1633938750019297
AdultCensusLocalXAI,BII,2,7,fourier,4,0.16408191702794284
AdultCensusLocalXAI,BII,2,7,fourier,5,0.16091824998147786
AdultCensusLocalXAI,BII,2,7,interventional,1,0.0009910000371746719
AdultCensusLocalXAI,BII,2,7,interventional,2,0.0005372499581426382
AdultCensusLocalXAI,BII,2,7,interventional,3,0.00047641596756875515
AdultCensusLocalXAI,BII,2,7,interventional,4,0.00045066705206409097
AdultCensusLocalXAI,BII,2,7,interventional,5,0.00045312504516914487
AdultCensusLocalXAI,BII,2,8,fourier,1,0.45932645903667435
AdultCensusLocalXAI,BII,2,8,fourier,2,0.47114070801762864
AdultCensusLocalXAI,BII,2,8,fourier,3,0.4590507919783704
AdultCensusLocalXAI,BII,2,8,fourier,4,0.5083715409855358
AdultCensusLocalXAI,BII,2,8,fourier,5,0.47806945798220113
AdultCensusLocalXAI,BII,2,8,interventional,1,0.0020665840129368007
AdultCensusLocalXAI,BII,2,8,interventional,2,0.0009549169917590916
AdultCensusLocalXAI,BII,2,8,interventional,3,0.0010835829889401793
AdultCensusLocalXAI,BII,2,8,interventional,4,0.0012267910060472786
AdultCensusLocalXAI,BII,2,8,interventional,5,0.0012312079779803753
AdultCensusLocalXAI,BII,3,3,fourier,1,0.001712457975372672
AdultCensusLocalXAI,BII,3,3,fourier,2,0.0018031249637715518
AdultCensusLocalXAI,BII,3,3,fourier,3,0.00156879099085927
AdultCensusLocalXAI,BII,3,3,fourier,4,0.001734833000227809
AdultCensusLocalXAI,BII,3,3,fourier,5,0.0016770840156823397
AdultCensusLocalXAI,BII,3,3,interventional,1,0.00044362503103911877
AdultCensusLocalXAI,BII,3,3,interventional,2,0.00043254200136289
AdultCensusLocalXAI,BII,3,3,interventional,3,0.0003849999629892409
AdultCensusLocalXAI,BII,3,3,interventional,4,0.00040087499655783176
AdultCensusLocalXAI,BII,3,3,interventional,5,0.0004044999950565398
AdultCensusLocalXAI,BII,3,4,fourier,1,0.005014916998334229
AdultCensusLocalXAI,BII,3,4,fourier,2,0.004987165972124785
AdultCensusLocalXAI,BII,3,4,fourier,3,0.004943749983794987
AdultCensusLocalXAI,BII,3,4,fourier,4,0.0048607499920763075
AdultCensusLocalXAI,BII,3,4,fourier,5,0.005027082981541753
AdultCensusLocalXAI,BII,3,4,interventional,1,0.0005661249742843211
AdultCensusLocalXAI,BII,3,4,interventional,2,0.0005908330203965306
AdultCensusLocalXAI,BII,3,4,interventional,3,0.0005493750213645399
